batter,first,second,third,outs,total_runs_inn,runs_up_to_batter,runs_after_batter,at_least_1_scored,base
Hackworth,1,2,_,1,3,1,2,True,1 2 _
Sudyka,1,2,3,1,3,1,2,True,1 2 3
Robinson,1,2,3,2,3,1,2,True,1 2 3
Smith,1,_,3,2,3,3,0,False,1 _ 3
Hackworth,_,_,_,0,1,0,1,True,_ _ _
Smith,_,2,_,0,1,0,1,True,_ 2 _
Halbach,_,_,3,1,1,0,1,True,_ _ 3
Kane,_,_,_,2,1,1,0,False,_ _ _
Larson,_,_,_,0,0,0,0,False,_ _ _
Gonzalez,_,_,_,1,0,0,0,False,_ _ _
Robinson,_,_,_,2,0,0,0,False,_ _ _
Kleszcz,_,_,_,0,3,0,3,True,_ _ _
Sudyka,_,_,_,1,3,0,3,True,_ _ _
Hackworth,1,_,_,1,3,0,3,True,1 _ _
Smith,_,2,3,1,3,0,3,True,_ 2 3
Halbach,_,_,3,1,3,2,1,True,_ _ 3
Kane,_,2,_,1,3,3,0,False,_ 2 _
Larson,_,2,_,2,3,3,0,False,_ 2 _
Gonzalez,_,_,_,0,0,0,0,False,_ _ _
Robinson,_,_,_,1,0,0,0,False,_ _ _
Kleszcz,_,_,_,2,0,0,0,False,_ _ _
Sudyka,_,_,_,0,0,0,0,False,_ _ _
Hackworth,_,_,_,1,0,0,0,False,_ _ _
Smith,_,_,_,2,0,0,0,False,_ _ _
Halbach,_,2,_,2,0,0,0,False,_ 2 _
Kane,_,_,_,0,0,0,0,False,_ _ _
Larson,1,_,_,0,0,0,0,False,1 _ _
Gonzalez,_,2,_,1,0,0,0,False,_ 2 _
Robinson,_,2,_,2,0,0,0,False,_ 2 _
Kleszcz,1,2,_,2,0,0,0,False,1 2 _
Sudyka,_,_,_,0,0,0,0,False,_ _ _
Hackworth,_,_,_,1,0,0,0,False,_ _ _
Smith,1,_,_,1,0,0,0,False,1 _ _
Halbach,1,_,_,2,0,0,0,False,1 _ _
Kane,_,_,_,0,2,0,2,True,_ _ _
Larson,_,_,3,0,2,0,2,True,_ _ 3
Gonzalez,_,_,3,0,2,1,1,True,_ _ 3
Robinson,1,_,3,0,2,1,1,True,1 _ 3
Kleszcz,1,_,3,1,2,1,1,True,1 _ 3
Sudyka,1,_,_,2,2,2,0,False,1 _ _
Hackworth,_,_,_,0,0,0,0,False,_ _ _
Smith,_,_,_,1,0,0,0,False,_ _ _
Halbach,_,_,_,2,0,0,0,False,_ _ _
Kane,_,_,3,2,0,0,0,False,_ _ 3
Gonzalez,_,_,_,0,4,0,4,True,_ _ _
Robinson,_,_,_,1,4,0,4,True,_ _ _
Saunders,1,_,_,1,4,0,4,True,1 _ _
Glascoe,1,2,_,1,4,0,4,True,1 2 _
Sudyka,_,2,3,1,4,1,3,True,_ 2 3
Hackworth,_,2,_,1,4,3,1,True,_ 2 _
Smith,_,_,3,2,4,3,1,True,_ _ 3
Halbach,1,_,_,2,4,4,0,False,1 _ _
Kane,_,_,_,0,0,0,0,False,_ _ _
Gonzalez,1,_,_,0,0,0,0,False,1 _ _
Robinson,_,2,_,1,0,0,0,False,_ 2 _
Saunders,_,_,3,2,0,0,0,False,_ _ 3
Glascoe,_,_,_,0,0,0,0,False,_ _ _
Sudyka,_,_,_,1,0,0,0,False,_ _ _
Hackworth,_,_,_,2,0,0,0,False,_ _ _
Smith,_,_,_,0,0,0,0,False,_ _ _
Halbach,_,_,_,1,0,0,0,False,_ _ _
Kane,_,_,_,2,0,0,0,False,_ _ _
Gonzalez,_,2,_,2,0,0,0,False,_ 2 _
Robinson,_,_,_,0,1,0,1,True,_ _ _
Saunders,_,2,_,0,1,0,1,True,_ 2 _
Glascoe,_,_,3,1,1,0,1,True,_ _ 3
Sudyka,1,_,_,1,1,1,0,False,1 _ _
Hackworth,_,_,3,2,1,1,0,False,_ _ 3
Smith,_,_,_,0,1,0,1,True,_ _ _
Halbach,_,_,_,0,1,1,0,False,_ _ _
Kane,_,_,_,1,1,1,0,False,_ _ _
Gonzalez,1,_,_,1,1,1,0,False,1 _ _
Robinson,1,2,_,1,1,1,0,False,1 2 _
Costello,1,2,_,2,1,1,0,False,1 2 _
Glascoe,_,_,_,0,2,0,2,True,_ _ _
Ujimori,_,_,_,1,2,0,2,True,_ _ _
Hackworth,1,_,_,1,2,0,2,True,1 _ _
Smith,1,_,_,2,2,0,2,True,1 _ _
Halbach,1,2,_,2,2,0,2,True,1 2 _
Kane,_,2,_,2,2,2,0,False,_ 2 _
Hackworth,_,_,_,0,4,0,4,True,_ _ _
Smith,_,_,_,1,4,0,4,True,_ _ _
Halbach,_,_,3,1,4,0,4,True,_ _ 3
Kane,1,_,3,1,4,0,4,True,1 _ 3
Larson,1,2,_,1,4,1,3,True,1 2 _
Fuhrman,_,_,3,1,4,3,1,True,_ _ 3
Robinson,_,_,_,2,4,4,0,False,_ _ _
Costello,_,_,_,0,5,0,5,True,_ _ _
Sudyka,_,_,_,1,5,0,5,True,_ _ _
Hackworth,_,_,3,1,5,0,5,True,_ _ 3
Smith,1,_,3,1,5,0,5,True,1 _ 3
Halbach,_,_,3,1,5,2,3,True,_ _ 3
Kane,_,2,_,1,5,3,2,True,_ 2 _
Larson,1,_,_,1,5,4,1,True,1 _ _
Fuhrman,_,_,_,2,5,5,0,False,_ _ _
Robinson,_,_,_,0,0,0,0,False,_ _ _
Costello,_,2,_,0,0,0,0,False,_ 2 _
Sudyka,_,2,_,1,0,0,0,False,_ 2 _
Hackworth,_,2,_,2,0,0,0,False,_ 2 _
Smith,_,_,_,0,0,0,0,False,_ _ _
Halbach,1,_,_,0,0,0,0,False,1 _ _
Kane,1,_,_,1,0,0,0,False,1 _ _
Larson,_,_,_,0,0,0,0,False,_ _ _
Fuhrman,_,_,_,1,0,0,0,False,_ _ _
Robinson,_,_,_,2,0,0,0,False,_ _ _
Costello,_,_,_,0,1,0,1,True,_ _ _
Sudyka,1,_,_,0,1,0,1,True,1 _ _
Hackworth,1,_,_,1,1,0,1,True,1 _ _
Smith,_,2,3,1,1,0,1,True,_ 2 3
Halbach,1,2,3,1,1,0,1,True,1 2 3
Kane,1,2,3,1,1,1,0,False,1 2 3
Larson,_,_,_,0,2,0,2,True,_ _ _
Fuhrman,_,_,_,1,2,0,2,True,_ _ _
Robinson,1,_,_,1,2,0,2,True,1 _ _
Costello,_,_,_,1,2,2,0,False,_ _ _
Sudyka,_,_,_,2,2,2,0,False,_ _ _
Hackworth,_,_,_,0,2,0,2,True,_ _ _
Smith,_,_,_,1,2,0,2,True,_ _ _
Halbach,1,_,_,1,2,0,2,True,1 _ _
Kane,_,2,_,2,2,0,2,True,_ 2 _
Larson,_,2,3,2,2,0,2,True,_ 2 3
Fuhrman,1,_,_,2,2,2,0,False,1 _ _
Hackworth,_,_,_,0,1,0,1,True,_ _ _
Smith,1,_,_,0,1,0,1,True,1 _ _
Halbach,1,2,_,0,1,0,1,True,1 2 _
Kane,1,_,3,1,1,0,1,True,1 _ 3
Fuhrman,1,_,_,2,1,1,0,False,1 _ _
Larson,_,_,_,0,1,0,1,True,_ _ _
Gonzalez,1,_,_,0,1,0,1,True,1 _ _
Kleszcz,1,2,_,0,1,0,1,True,1 2 _
Sudyka,1,2,3,0,1,0,1,True,1 2 3
Hackworth,_,_,3,2,1,1,0,False,_ _ 3
Smith,_,_,_,0,0,0,0,False,_ _ _
Halbach,_,_,_,1,0,0,0,False,_ _ _
Kane,_,_,_,2,0,0,0,False,_ _ _
Fuhrman,1,_,_,2,0,0,0,False,1 _ _
Larson,_,_,_,0,0,0,0,False,_ _ _
Gonzalez,_,_,_,1,0,0,0,False,_ _ _
Kleszcz,_,_,_,2,0,0,0,False,_ _ _
Sudyka,_,2,_,2,0,0,0,False,_ 2 _
Hackworth,_,_,_,0,0,0,0,False,_ _ _
Smith,_,_,_,1,0,0,0,False,_ _ _
Halbach,_,_,_,2,0,0,0,False,_ _ _
Kane,_,_,_,0,0,0,0,False,_ _ _
Fuhrman,_,_,_,1,0,0,0,False,_ _ _
Larson,_,2,_,1,0,0,0,False,_ 2 _
Gonzalez,_,_,3,2,0,0,0,False,_ _ 3
Kleszcz,_,_,_,0,0,0,0,False,_ _ _
Sudyka,1,_,_,0,0,0,0,False,1 _ _
Hackworth,1,_,_,1,0,0,0,False,1 _ _
Smith,1,2,_,1,0,0,0,False,1 2 _
Halbach,1,2,_,2,0,0,0,False,1 2 _
Kane,_,_,_,0,0,0,0,False,_ _ _
Fuhrman,_,_,_,1,0,0,0,False,_ _ _
Larson,_,_,_,2,0,0,0,False,_ _ _
Gonzalez,_,_,_,0,4,0,4,True,_ _ _
Kleszcz,1,_,_,0,4,0,4,True,1 _ _
Robinson,_,2,3,0,4,0,4,True,_ 2 3
Hackworth,_,_,3,1,4,1,3,True,_ _ 3
Smith,_,_,3,2,4,1,3,True,_ _ 3
Halbach,1,_,3,2,4,1,3,True,1 _ 3
Kane,1,2,_,2,4,2,2,True,1 2 _
Fuhrman,_,_,_,0,0,0,0,False,_ _ _
Smith,_,_,_,1,0,0,0,False,_ _ _
Halbach,_,_,_,2,0,0,0,False,_ _ _
Kane,_,_,_,0,1,0,1,True,_ _ _
Larson,1,_,_,0,1,0,1,True,1 _ _
Gonzalez,1,2,_,0,1,0,1,True,1 2 _
Robinson,1,_,3,1,1,0,1,True,1 _ 3
Kleszcz,1,_,_,2,1,1,0,False,1 _ _
Sudyka,_,_,_,0,0,0,0,False,_ _ _
Fuhrman,_,_,_,1,0,0,0,False,_ _ _
Smith,_,_,_,2,0,0,0,False,_ _ _
Halbach,_,_,_,0,0,0,0,False,_ _ _
Kane,1,_,_,0,0,0,0,False,1 _ _
Larson,_,2,_,1,0,0,0,False,_ 2 _
Gonzalez,_,_,3,2,0,0,0,False,_ _ 3
Robinson,_,_,_,0,3,0,3,True,_ _ _
Kleszcz,1,_,_,0,3,0,3,True,1 _ _
Sudyka,1,2,_,0,3,0,3,True,1 2 _
Fuhrman,_,2,3,1,3,0,3,True,_ 2 3
Smith,_,_,_,1,3,3,0,False,_ _ _
Halbach,_,_,_,2,3,3,0,False,_ _ _
Kane,_,_,_,0,1,0,1,True,_ _ _
Larson,_,_,_,1,1,0,1,True,_ _ _
Gonzalez,_,_,_,2,1,0,1,True,_ _ _
Robinson,_,_,_,2,1,1,0,False,_ _ _
Kleszcz,_,_,_,0,5,0,5,True,_ _ _
Sudyka,1,_,_,0,5,0,5,True,1 _ _
Fuhrman,1,_,_,1,5,0,5,True,1 _ _
Smith,1,_,3,1,5,0,5,True,1 _ 3
Halbach,1,_,3,1,5,1,4,True,1 _ 3
Kane,_,_,3,1,5,3,2,True,_ _ 3
Larson,1,_,3,1,5,3,2,True,1 _ 3
Gonzalez,1,2,3,1,5,3,2,True,1 2 3
Robinson,1,2,_,1,5,5,0,False,1 2 _
Saunders,1,_,3,2,5,5,0,False,1 _ 3
Sudyka,_,_,_,0,4,0,4,True,_ _ _
Costello,_,2,_,0,4,0,4,True,_ 2 _
Glascoe,1,_,_,0,4,1,3,True,1 _ _
Solis,1,2,_,0,4,1,3,True,1 2 _
Kane,1,2,3,0,4,1,3,True,1 2 3
Larson,1,2,3,0,4,2,2,True,1 2 3
Lomanto,_,_,3,2,4,3,1,True,_ _ 3
Robinson,_,2,_,2,4,4,0,False,_ 2 _
Hackworth,_,_,_,0,2,0,2,True,_ _ _
Smith,1,_,_,0,2,0,2,True,1 _ _
Halbach,1,_,_,1,2,0,2,True,1 _ _
Kane,_,_,_,1,2,2,0,False,_ _ _
Larson,_,_,_,2,2,2,0,False,_ _ _
Gonzalez,1,_,_,2,2,2,0,False,1 _ _
Fuhrman,1,2,_,2,2,2,0,False,1 2 _
Kleszcz,_,_,_,0,0,0,0,False,_ _ _
Sudyka,_,_,_,1,0,0,0,False,_ _ _
Hackworth,_,_,_,2,0,0,0,False,_ _ _
Smith,1,_,_,2,0,0,0,False,1 _ _
Halbach,_,_,_,0,0,0,0,False,_ _ _
Kane,_,_,_,1,0,0,0,False,_ _ _
Larson,_,_,_,2,0,0,0,False,_ _ _
Gonzalez,1,_,_,2,0,0,0,False,1 _ _
Fuhrman,_,_,_,0,1,0,1,True,_ _ _
Kleszcz,1,_,_,0,1,0,1,True,1 _ _
Sudyka,_,_,3,1,1,0,1,True,_ _ 3
Hackworth,_,_,3,2,1,0,1,True,_ _ 3
Smith,_,2,_,2,1,1,0,False,_ 2 _
Halbach,_,_,_,0,3,0,3,True,_ _ _
Kane,_,_,_,1,3,0,3,True,_ _ _
Larson,_,_,_,2,3,0,3,True,_ _ _
Gonzalez,1,_,_,2,3,0,3,True,1 _ _
Fuhrman,1,2,_,2,3,0,3,True,1 2 _
Kleszcz,_,_,_,2,3,3,0,False,_ _ _
Sudyka,_,_,_,0,1,0,1,True,_ _ _
Hackworth,_,_,_,1,1,0,1,True,_ _ _
Smith,1,_,_,1,1,0,1,True,1 _ _
Halbach,1,2,_,1,1,0,1,True,1 2 _
Kane,1,2,_,2,1,0,1,True,1 2 _
Larson,_,2,3,2,1,1,0,False,_ 2 3
Gonzalez,_,_,_,0,3,0,3,True,_ _ _
Fuhrman,1,_,_,0,3,0,3,True,1 _ _
Kleszcz,1,2,_,0,3,0,3,True,1 2 _
Sudyka,_,2,3,0,3,1,2,True,_ 2 3
Hackworth,_,2,_,1,3,2,1,True,_ 2 _
Smith,_,2,_,1,3,3,0,False,_ 2 _
Solis,_,2,_,2,3,3,0,False,_ 2 _
Kane,1,2,_,2,3,3,0,False,1 2 _
Glascoe,_,_,_,0,0,0,0,False,_ _ _
Lomanto,1,_,_,0,0,0,0,False,1 _ _
Robinson,1,_,_,1,0,0,0,False,1 _ _
Hackworth,_,_,_,0,2,0,2,True,_ _ _
Fuhrman,_,_,_,1,2,0,2,True,_ _ _
Halbach,1,_,_,1,2,0,2,True,1 _ _
Kane,_,_,_,1,2,2,0,False,_ _ _
Larson,_,_,_,2,2,2,0,False,_ _ _
Gonzalez,_,_,_,0,0,0,0,False,_ _ _
Robinson,1,_,_,0,0,0,0,False,1 _ _
Kleszcz,1,2,_,0,0,0,0,False,1 2 _
Sudyka,1,2,_,1,0,0,0,False,1 2 _
Hackworth,1,2,_,2,0,0,0,False,1 2 _
Fuhrman,_,_,_,0,3,0,3,True,_ _ _
Halbach,_,_,_,1,3,0,3,True,_ _ _
Kane,_,_,3,1,3,0,3,True,_ _ 3
Larson,1,_,3,1,3,0,3,True,1 _ 3
Gonzalez,1,2,_,1,3,1,2,True,1 2 _
Robinson,1,2,_,2,3,1,2,True,1 2 _
Kleszcz,1,2,3,2,3,1,2,True,1 2 3
Sudyka,_,2,3,2,3,3,0,False,_ 2 3
Hackworth,_,_,_,0,0,0,0,False,_ _ _
Fuhrman,_,_,_,1,0,0,0,False,_ _ _
Halbach,_,_,_,2,0,0,0,False,_ _ _
Kane,_,_,_,0,1,0,1,True,_ _ _
Larson,1,_,_,0,1,0,1,True,1 _ _
Gonzalez,1,_,3,0,1,0,1,True,1 _ 3
Robinson,_,_,_,2,1,1,0,False,_ _ _
Kleszcz,_,_,_,0,2,0,2,True,_ _ _
Sudyka,1,_,_,0,2,0,2,True,1 _ _
Hackworth,_,2,_,1,2,0,2,True,_ 2 _
Fuhrman,1,_,3,1,2,0,2,True,1 _ 3
Halbach,1,_,_,2,2,1,1,True,1 _ _
Kane,_,2,_,2,2,2,0,False,_ 2 _
Larson,_,_,_,0,0,0,0,False,_ _ _
Gonzalez,_,2,_,0,0,0,0,False,_ 2 _
Robinson,_,2,_,1,0,0,0,False,_ 2 _
Kleszcz,_,2,_,2,0,0,0,False,_ 2 _
Sudyka,_,_,_,0,0,0,0,False,_ _ _
Hackworth,_,_,_,1,0,0,0,False,_ _ _
Fuhrman,_,_,_,2,0,0,0,False,_ _ _
Hackworth,_,_,_,0,0,0,0,False,_ _ _
Fuhrman,_,_,_,1,0,0,0,False,_ _ _
Halbach,_,_,_,2,0,0,0,False,_ _ _
Kane,_,_,_,0,0,0,0,False,_ _ _
Larson,_,_,_,1,0,0,0,False,_ _ _
Gonzalez,_,_,_,2,0,0,0,False,_ _ _
Kleszcz,1,_,_,2,0,0,0,False,1 _ _
Saunders,_,_,_,0,0,0,0,False,_ _ _
Sudyka,_,_,_,1,0,0,0,False,_ _ _
Hackworth,_,_,_,2,0,0,0,False,_ _ _
Fuhrman,_,_,_,0,0,0,0,False,_ _ _
Halbach,_,2,_,0,0,0,0,False,_ 2 _
Kane,_,2,_,1,0,0,0,False,_ 2 _
Larson,1,2,_,1,0,0,0,False,1 2 _
Gonzalez,_,_,_,0,0,0,0,False,_ _ _
Kleszcz,1,_,_,0,0,0,0,False,1 _ _
Saunders,1,_,_,1,0,0,0,False,1 _ _
Sudyka,1,_,_,2,0,0,0,False,1 _ _
Hackworth,_,_,_,0,1,0,1,True,_ _ _
Fuhrman,_,_,_,1,1,0,1,True,_ _ _
Halbach,_,_,_,1,1,1,0,False,_ _ _
Kane,_,_,_,2,1,1,0,False,_ _ _
Larson,1,_,_,2,1,1,0,False,1 _ _
Gonzalez,_,_,_,0,3,0,3,True,_ _ _
Kleszcz,_,_,_,1,3,0,3,True,_ _ _
Saunders,_,2,_,1,3,0,3,True,_ 2 _
Robinson,1,_,_,1,3,1,2,True,1 _ _
Hackworth,_,2,3,1,3,1,2,True,_ 2 3
Fuhrman,_,2,_,1,3,3,0,False,_ 2 _
Halbach,1,2,_,1,3,3,0,False,1 2 _
Kane,_,2,3,2,3,3,0,False,_ 2 3
Larson,1,2,3,2,3,3,0,False,1 2 3
Gonzalez,_,_,_,0,4,0,4,True,_ _ _
Kleszcz,_,2,_,0,4,0,4,True,_ 2 _
Saunders,_,_,3,1,4,0,4,True,_ _ 3
Robinson,1,_,3,1,4,0,4,True,1 _ 3
Hackworth,1,_,_,2,4,1,3,True,1 _ _
Fuhrman,1,_,3,2,4,1,3,True,1 _ 3
Halbach,1,2,3,2,4,1,3,True,1 2 3
Kane,1,2,3,2,4,2,2,True,1 2 3
Larson,1,2,_,2,4,4,0,False,1 2 _
Hackworth,_,_,_,0,0,0,0,False,_ _ _
Fuhrman,_,_,_,1,0,0,0,False,_ _ _
Halbach,_,_,_,2,0,0,0,False,_ _ _
Kane,1,_,_,2,0,0,0,False,1 _ _
Larson,1,2,_,2,0,0,0,False,1 2 _
Gonzalez,_,_,_,0,0,0,0,False,_ _ _
Robinson,1,_,_,0,0,0,0,False,1 _ _
Kleszcz,_,_,_,2,0,0,0,False,_ _ _
Sudyka,1,_,_,2,0,0,0,False,1 _ _
Hackworth,1,2,_,2,0,0,0,False,1 2 _
Fuhrman,_,_,_,0,4,0,4,True,_ _ _
Halbach,1,_,_,0,4,0,4,True,1 _ _
Kane,1,2,_,0,4,0,4,True,1 2 _
Larson,1,2,3,0,4,0,4,True,1 2 3
Gonzalez,1,2,3,0,4,1,3,True,1 2 3
Robinson,1,_,3,1,4,2,2,True,1 _ 3
Kleszcz,1,2,3,1,4,2,2,True,1 2 3
Sudyka,1,2,3,1,4,3,1,True,1 2 3
Hackworth,1,2,_,2,4,4,0,False,1 2 _
Fuhrman,_,_,_,0,0,0,0,False,_ _ _
Halbach,_,_,_,1,0,0,0,False,_ _ _
Kane,1,_,_,1,0,0,0,False,1 _ _
Larson,1,2,_,1,0,0,0,False,1 2 _
Gonzalez,1,2,_,2,0,0,0,False,1 2 _
Robinson,_,_,_,0,2,0,2,True,_ _ _
Kleszcz,_,_,_,1,2,0,2,True,_ _ _
Sudyka,1,_,_,1,2,0,2,True,1 _ _
Hackworth,1,2,_,1,2,0,2,True,1 2 _
Fuhrman,_,2,3,2,2,0,2,True,_ 2 3
Halbach,1,2,3,2,2,0,2,True,1 2 3
Kane,1,_,3,2,2,2,0,False,1 _ 3
Larson,_,_,_,0,0,0,0,False,_ _ _
Gonzalez,_,_,_,1,0,0,0,False,_ _ _
Robinson,_,_,_,2,0,0,0,False,_ _ _
Kleszcz,1,_,_,2,0,0,0,False,1 _ _
Sudyka,1,2,_,2,0,0,0,False,1 2 _
Hackworth,_,_,_,0,0,0,0,False,_ _ _
Fuhrman,1,_,_,0,0,0,0,False,1 _ _
Halbach,1,_,_,1,0,0,0,False,1 _ _
Kane,1,_,_,2,0,0,0,False,1 _ _
Larson,1,2,_,2,0,0,0,False,1 2 _
Lomanto,_,_,_,0,0,0,0,False,_ _ _
Robinson,_,_,_,1,0,0,0,False,_ _ _
Kleszcz,_,2,_,1,0,0,0,False,_ 2 _
Sudyka,1,_,3,1,0,0,0,False,1 _ 3
Hackworth,1,_,3,2,0,0,0,False,1 _ 3
Hackworth,_,_,_,0,0,0,0,False,_ _ _
Costello,1,_,_,0,0,0,0,False,1 _ _
Halbach,1,_,_,1,0,0,0,False,1 _ _
Kane,1,_,_,2,0,0,0,False,1 _ _
Fuhrman,_,_,_,0,0,0,0,False,_ _ _
Robinson,_,_,_,1,0,0,0,False,_ _ _
Glascoe,1,_,_,1,0,0,0,False,1 _ _
Solis,1,_,_,2,0,0,0,False,1 _ _
Saunders,_,_,_,0,0,0,0,False,_ _ _
Hackworth,1,_,_,0,0,0,0,False,1 _ _
Costello,1,_,_,1,0,0,0,False,1 _ _
Halbach,1,2,_,1,0,0,0,False,1 2 _
Kane,1,2,_,2,0,0,0,False,1 2 _
Fuhrman,_,_,_,0,0,0,0,False,_ _ _
Robinson,_,_,_,1,0,0,0,False,_ _ _
Glascoe,_,_,_,2,0,0,0,False,_ _ _
Solis,1,_,_,2,0,0,0,False,1 _ _
Saunders,_,_,_,0,2,0,2,True,_ _ _
Hackworth,1,_,_,0,2,0,2,True,1 _ _
Costello,1,_,_,1,2,0,2,True,1 _ _
Halbach,_,2,3,1,2,0,2,True,_ 2 3
Kane,1,2,3,1,2,0,2,True,1 2 3
Fuhrman,1,2,_,1,2,2,0,False,1 2 _
Robinson,1,2,_,2,2,2,0,False,1 2 _
Glascoe,_,_,_,0,0,0,0,False,_ _ _
Solis,_,_,_,1,0,0,0,False,_ _ _
Saunders,1,_,_,1,0,0,0,False,1 _ _
Hackworth,1,2,_,1,0,0,0,False,1 2 _
Costello,1,2,_,2,0,0,0,False,1 2 _
Halbach,_,_,_,0,0,0,0,False,_ _ _
Kane,_,_,_,1,0,0,0,False,_ _ _
Fuhrman,1,_,_,1,0,0,0,False,1 _ _
Robinson,_,2,_,2,0,0,0,False,_ 2 _
Glascoe,_,_,_,0,0,0,0,False,_ _ _
Solis,_,_,_,1,0,0,0,False,_ _ _
Saunders,1,_,_,1,0,0,0,False,1 _ _
Hackworth,1,_,_,2,0,0,0,False,1 _ _
Costello,1,2,_,2,0,0,0,False,1 2 _
Hackworth,_,_,_,0,0,0,0,False,_ _ _
Fuhrman,_,_,_,1,0,0,0,False,_ _ _
Halbach,_,_,_,2,0,0,0,False,_ _ _
Kane,_,_,_,0,0,0,0,False,_ _ _
Larson,_,_,_,1,0,0,0,False,_ _ _
Gonzalez,_,2,_,1,0,0,0,False,_ 2 _
Kleszcz,_,2,_,2,0,0,0,False,_ 2 _
Saunders,_,_,_,0,3,0,3,True,_ _ _
Sudyka,_,2,_,0,3,0,3,True,_ 2 _
Hackworth,_,_,3,1,3,0,3,True,_ _ 3
Fuhrman,_,_,3,2,3,0,3,True,_ _ 3
Halbach,1,_,3,2,3,0,3,True,1 _ 3
Kane,_,_,_,2,3,3,0,False,_ _ _
Larson,_,_,_,0,0,0,0,False,_ _ _
Gonzalez,_,_,_,1,0,0,0,False,_ _ _
Kleszcz,1,_,_,1,0,0,0,False,1 _ _
Saunders,1,_,_,2,0,0,0,False,1 _ _
Sudyka,_,_,_,0,4,0,4,True,_ _ _
Hackworth,_,_,_,1,4,0,4,True,_ _ _
Fuhrman,_,2,_,1,4,0,4,True,_ 2 _
Halbach,_,2,_,2,4,0,4,True,_ 2 _
Kane,1,2,_,2,4,0,4,True,1 2 _
Larson,1,2,3,2,4,0,4,True,1 2 3
Gonzalez,_,_,_,2,4,4,0,False,_ _ _
Kleszcz,_,_,_,0,0,0,0,False,_ _ _
Saunders,1,_,_,0,0,0,0,False,1 _ _
Sudyka,_,_,_,2,0,0,0,False,_ _ _
Hackworth,_,_,_,0,0,0,0,False,_ _ _
Fuhrman,_,_,_,1,0,0,0,False,_ _ _
Halbach,_,_,_,2,0,0,0,False,_ _ _
Kane,1,_,_,2,0,0,0,False,1 _ _
Larson,1,2,_,2,0,0,0,False,1 2 _
Gonzalez,1,2,3,2,0,0,0,False,1 2 3
Kleszcz,_,_,_,0,1,0,1,True,_ _ _
Saunders,_,_,_,1,1,0,1,True,_ _ _
Sudyka,_,2,_,1,1,0,1,True,_ 2 _
Hackworth,_,2,_,2,1,0,1,True,_ 2 _
Fuhrman,1,_,_,2,1,1,0,False,1 _ _
Halbach,_,_,_,0,2,0,2,True,_ _ _
Kane,1,_,_,0,2,0,2,True,1 _ _
Larson,_,2,_,1,2,0,2,True,_ 2 _
Gonzalez,_,_,_,1,2,2,0,False,_ _ _
Kleszcz,_,_,_,2,2,2,0,False,_ _ _
Saunders,1,_,_,2,2,2,0,False,1 _ _
Hackworth,_,_,_,0,0,0,0,False,_ _ _
Fuhrman,1,_,_,0,0,0,0,False,1 _ _
Halbach,1,2,_,0,0,0,0,False,1 2 _
Kane,1,2,3,0,0,0,0,False,1 2 3
Larson,1,2,3,0,0,0,0,False,1 2 3
Gonzalez,_,_,_,0,0,0,0,False,_ _ _
Robinson,_,_,_,1,0,0,0,False,_ _ _
Kleszcz,_,_,_,2,0,0,0,False,_ _ _
Sudyka,1,_,_,2,0,0,0,False,1 _ _
Hackworth,1,2,_,2,0,0,0,False,1 2 _
Fuhrman,_,_,_,0,0,0,0,False,_ _ _
Halbach,_,_,_,1,0,0,0,False,_ _ _
Kane,1,_,_,1,0,0,0,False,1 _ _
Larson,_,_,_,0,0,0,0,False,_ _ _
Gonzalez,_,_,_,1,0,0,0,False,_ _ _
Robinson,_,_,_,2,0,0,0,False,_ _ _
Costello,_,_,_,0,0,0,0,False,_ _ _
Solis,_,_,_,1,0,0,0,False,_ _ _
Saunders,_,_,_,2,0,0,0,False,_ _ _
Fuhrman,1,_,_,2,0,0,0,False,1 _ _
Halbach,_,_,_,0,0,0,0,False,_ _ _
Kane,_,_,_,1,0,0,0,False,_ _ _
Larson,_,_,_,2,0,0,0,False,_ _ _
Preap,_,_,_,0,5,0,5,True,_ _ _
Robinson,1,_,_,0,5,0,5,True,1 _ _
Costello,1,2,_,0,5,0,5,True,1 2 _
Solis,1,2,3,0,5,0,5,True,1 2 3
Saunders,1,2,_,1,5,1,4,True,1 2 _
Fuhrman,1,2,3,1,5,1,4,True,1 2 3
Halbach,_,_,_,1,5,5,0,False,_ _ _
Kane,_,_,_,2,5,5,0,False,_ _ _
Glascoe,_,2,_,2,5,5,0,False,_ 2 _
Preap,_,_,_,0,0,0,0,False,_ _ _
Robinson,1,_,_,0,0,0,0,False,1 _ _
Costello,1,_,_,1,0,0,0,False,1 _ _
Solis,1,_,_,2,0,0,0,False,1 _ _
Saunders,_,_,_,0,0,0,0,False,_ _ _
Fuhrman,1,_,_,0,0,0,0,False,1 _ _
Halbach,1,_,_,1,0,0,0,False,1 _ _
Kane,_,2,_,2,0,0,0,False,_ 2 _
Hackworth,_,_,_,0,1,0,1,True,_ _ _
Fuhrman,_,_,_,1,1,0,1,True,_ _ _
Halbach,_,_,_,2,1,0,1,True,_ _ _
Kane,1,_,_,2,1,0,1,True,1 _ _
Larson,1,2,_,2,1,0,1,True,1 2 _
Gonzalez,1,2,_,2,1,1,0,False,1 2 _
Kleszcz,_,_,_,0,1,0,1,True,_ _ _
Saunders,_,_,_,0,1,1,0,False,_ _ _
Sudyka,_,_,_,1,1,1,0,False,_ _ _
Hackworth,_,_,_,2,1,1,0,False,_ _ _
